"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.139916207E0,2.487640381E1,-1.571502686E1,-4.411010742E1,5.302357129E1
3.160088326E0,2.442626953E1,-1.406402588E1,-4.440917969E1,5.259861888E1
3.180229928E0,2.592620850E1,-1.601409912E1,-4.485931396E1,5.423078191E1
3.200371530E0,2.322692871E1,-1.586456299E1,-4.290924072E1,5.130670049E1
3.220513131E0,2.307739258E1,-1.496429443E1,-4.545898438E1,5.313205639E1
3.240654733E0,2.502593994E1,-1.526489258E1,-4.395904541E1,5.283665668E1
3.260796334E0,2.517700195E1,-1.496429443E1,-4.411010742E1,5.294821160E1
3.280907418E0,2.622680664E1,-1.601409912E1,-4.380950928E1,5.351233372E1
3.301049020E0,2.382659912E1,-1.646423340E1,-4.305877686E1,5.189254350E1
3.321190621E0,2.472686768E1,-1.556396484E1,-4.395904541E1,5.278307172E1
3.341362740E0,2.532653809E1,-1.586456299E1,-4.365997314E1,5.290851675E1
3.361504342E0,2.442626953E1,-1.571502686E1,-4.440917969E1,5.306392327E1
3.381615426E0,2.532653809E1,-1.616363525E1,-4.290924072E1,5.238224485E1
3.401757028E0,2.547607422E1,-1.601409912E1,-4.515991211E1,5.426692722E1
3.421898629E0,2.352600098E1,-1.541442871E1,-4.350891113E1,5.180832638E1
3.442040231E0,2.322692871E1,-1.526489258E1,-4.365997314E1,5.175616309E1
3.462181832E0,2.442626953E1,-1.646423340E1,-4.380950928E1,5.279191915E1
3.482353951E0,2.382659912E1,-1.541442871E1,-4.380950928E1,5.219755302E1
3.502465035E0,2.412719727E1,-1.601409912E1,-4.485931396E1,5.339411080E1
3.522637155E0,2.592620850E1,-1.541442871E1,-4.350891113E1,5.294146057E1
3.542748239E0,2.472686768E1,-1.391448975E1,-4.290924072E1,5.144155858E1
3.562889840E0,2.487640381E1,-1.436462402E1,-4.440917969E1,5.289000974E1
3.583031442E0,2.517700195E1,-1.361389160E1,-4.440917969E1,5.283365133E1
3.603203561E0,2.502593994E1,-1.616363525E1,-4.500885010E1,5.397552558E1
3.623314645E0,2.487640381E1,-1.541442871E1,-4.485931396E1,5.356116250E1
3.643456246E0,2.682647705E1,-1.601409912E1,-4.485931396E1,5.466689392E1
3.663628365E0,2.517700195E1,-1.541442871E1,-4.590911865E1,5.458143654E1
3.683739449E0,2.442626953E1,-1.676483154E1,-4.275970459E1,5.202013607E1
3.703911569E0,2.592620850E1,-1.601409912E1,-4.350891113E1,5.311915856E1
3.724053170E0,2.472686768E1,-1.586456299E1,-4.500885010E1,5.374847841E1
3.744194772E0,2.637634277E1,-1.661376953E1,-4.230957031E1,5.255310206E1
3.764305856E0,2.397613525E1,-1.586456299E1,-4.185943604E1,5.078141201E1
3.784447457E0,2.262725830E1,-1.616363525E1,-4.261016846E1,5.088106110E1
3.804589059E0,2.427673340E1,-1.526489258E1,-4.470977783E1,5.311629659E1
3.824761178E0,2.292633057E1,-1.556396484E1,-4.290924072E1,5.107892495E1
3.844902780E0,2.517700195E1,-1.496429443E1,-4.440917969E1,5.319762002E1
3.865013864E0,2.382659912E1,-1.706390381E1,-4.350891113E1,5.245864073E1
3.885155465E0,2.487640381E1,-1.601409912E1,-4.411010742E1,5.311297783E1
3.905327584E0,2.427673340E1,-1.586456299E1,-4.500885010E1,5.354288683E1
3.925469186E0,2.427673340E1,-1.586456299E1,-4.530944824E1,5.379581994E1
3.945580270E0,2.397613525E1,-1.526489258E1,-4.365997314E1,5.209669147E1
3.965721871E0,2.367706299E1,-1.661376953E1,-4.470977783E1,5.325021017E1
3.985893990E0,2.367706299E1,-1.751403809E1,-4.335937500E1,5.241545805E1
4.006035592E0,2.397613525E1,-1.661376953E1,-4.425964355E1,5.300743766E1
