Time (s),Bx (µT),By (µT),Bz (µT),Bt (µT)
4.31E+00,1.87E+01,-2.81E+00,-4.28E+01,4.68E+01
4.33E+00,1.92E+01,-2.21E+00,-4.40E+01,4.80E+01
4.35E+00,2.04E+01,-1.76E+00,-4.31E+01,4.77E+01
4.37E+00,1.83E+01,-2.81E+00,-4.28E+01,4.66E+01
4.39E+00,1.92E+01,-1.31E+00,-4.23E+01,4.65E+01
4.41E+00,1.95E+01,-1.91E+00,-4.37E+01,4.78E+01
4.43E+00,1.84E+01,-3.71E+00,-4.29E+01,4.68E+01
4.45E+00,1.92E+01,-2.66E+00,-4.19E+01,4.61E+01
4.47E+00,1.81E+01,-5.65E-01,-4.26E+01,4.63E+01
4.49E+00,1.77E+01,-1.76E+00,-4.28E+01,4.63E+01
4.51E+00,1.90E+01,-2.81E+00,-4.35E+01,4.76E+01
4.53E+00,1.77E+01,-2.51E+00,-4.22E+01,4.58E+01
4.55E+00,1.75E+01,-2.21E+00,-4.43E+01,4.77E+01
4.57E+00,1.84E+01,-2.66E+00,-4.23E+01,4.62E+01
4.59E+00,1.75E+01,-1.31E+00,-4.29E+01,4.64E+01
4.61E+00,1.89E+01,-2.96E+00,-4.34E+01,4.74E+01
4.63E+00,1.80E+01,-2.06E+00,-4.38E+01,4.74E+01
4.65E+00,1.89E+01,-3.71E+00,-4.29E+01,4.70E+01
4.67E+00,1.96E+01,-2.81E+00,-4.38E+01,4.81E+01
4.69E+00,1.87E+01,-1.76E+00,-4.38E+01,4.77E+01
4.71E+00,2.01E+01,-1.76E+00,-4.25E+01,4.70E+01
4.73E+00,1.84E+01,-1.61E+00,-4.37E+01,4.74E+01
4.75E+00,1.81E+01,-2.66E+00,-4.19E+01,4.57E+01
4.77E+00,1.92E+01,-2.21E+00,-4.29E+01,4.71E+01
4.79E+00,1.96E+01,-2.81E+00,-4.41E+01,4.84E+01
4.81E+00,1.92E+01,-3.71E+00,-4.40E+01,4.81E+01
4.83E+00,1.87E+01,-1.16E+00,-4.17E+01,4.57E+01
4.85E+00,1.75E+01,-3.71E+00,-4.19E+01,4.55E+01
4.87E+00,1.93E+01,-2.06E+00,-4.44E+01,4.85E+01
4.89E+00,1.83E+01,-2.81E+00,-4.41E+01,4.78E+01
4.91E+00,1.95E+01,-3.71E+00,-4.34E+01,4.77E+01
4.93E+00,1.72E+01,-1.76E+00,-4.28E+01,4.61E+01
4.95E+00,1.89E+01,-3.26E+00,-4.34E+01,4.74E+01
4.97E+00,2.02E+01,-2.21E+00,-4.23E+01,4.69E+01
4.99E+00,1.92E+01,-4.01E+00,-4.26E+01,4.69E+01
5.01E+00,1.93E+01,-3.41E+00,-4.28E+01,4.70E+01
5.03E+00,1.71E+01,-2.21E+00,-4.23E+01,4.57E+01
5.06E+00,1.65E+01,-2.96E+00,-4.05E+01,4.38E+01
5.08E+00,1.78E+01,-2.96E+00,-4.43E+01,4.78E+01
5.10E+00,1.99E+01,-3.26E+00,-4.19E+01,4.65E+01
5.12E+00,1.87E+01,-2.51E+00,-4.49E+01,4.87E+01
5.14E+00,1.81E+01,-2.21E+00,-4.34E+01,4.70E+01
5.16E+00,1.90E+01,-3.41E+00,-4.28E+01,4.69E+01
5.18E+00,1.90E+01,-3.11E+00,-4.38E+01,4.79E+01
5.20E+00,1.77E+01,-3.11E+00,-4.25E+01,4.61E+01
5.22E+00,1.81E+01,-3.26E+00,-4.26E+01,4.64E+01
5.24E+00,1.81E+01,-3.71E+00,-4.29E+01,4.67E+01
5.26E+00,1.87E+01,-2.51E+00,-4.22E+01,4.62E+01
5.28E+00,1.72E+01,-2.81E+00,-4.25E+01,4.59E+01
5.30E+00,2.01E+01,-3.41E+00,-4.28E+01,4.74E+01
5.32E+00,1.92E+01,-2.21E+00,-4.37E+01,4.77E+01
5.34E+00,1.80E+01,-2.51E+00,-4.28E+01,4.65E+01
5.36E+00,1.71E+01,-1.61E+00,-4.23E+01,4.57E+01
5.38E+00,1.89E+01,-3.71E+00,-4.26E+01,4.68E+01
5.40E+00,1.80E+01,-3.87E+00,-4.41E+01,4.78E+01
5.42E+00,1.89E+01,-3.26E+00,-4.37E+01,4.77E+01
5.44E+00,1.80E+01,-3.41E+00,-4.17E+01,4.55E+01
5.46E+00,1.83E+01,-2.51E+00,-4.31E+01,4.68E+01
5.48E+00,1.80E+01,-2.81E+00,-4.25E+01,4.62E+01
5.50E+00,1.96E+01,-3.87E+00,-4.31E+01,4.75E+01
5.52E+00,1.90E+01,-3.41E+00,-4.38E+01,4.79E+01
5.54E+00,1.84E+01,-4.01E+00,-4.47E+01,4.85E+01
5.56E+00,1.89E+01,-2.96E+00,-4.43E+01,4.82E+01
5.58E+00,1.83E+01,-2.06E+00,-4.59E+01,4.95E+01
